code,term,dmd_id,dmd_type,bnf_code
39689911000001109,Dapagliflozin 5mg tablets,39689911000001109,VMP,0601023AGAAAAAA
39689811000001104,Dapagliflozin 10mg tablets,39689811000001104,VMP,0601023AGAAABAB
21609511000001105,Forxiga 5mg tablets,21609511000001105,AMP,0601023AGBBAAAA
21609811000001108,Forxiga 10mg tablets,21609811000001108,AMP,0601023AGBBABAB
39734511000001100,Canagliflozin 100mg tablets,39734511000001100,VMP,0601023AMAAAAAA
24104511000001103,Canagliflozin 300mg tablets,24104511000001103,VMP,0601023AMAAABAB
24088611000001101,Invokana 100mg tablets,24088611000001101,AMP,0601023AMBBAAAA
24088311000001106,Invokana 300mg tablets,24088311000001106,AMP,0601023AMBBABAB
25290511000001101,Empagliflozin 10mg tablets,25290511000001101,VMP,0601023ANAAAAAA
25290611000001102,Empagliflozin 25mg tablets,25290611000001102,VMP,0601023ANAAABAB
25238811000001107,Jardiance 10mg tablets,25238811000001107,AMP,0601023ANBBAAAA
25239711000001108,Jardiance 25mg tablets,25239711000001108,AMP,0601023ANBBABAB
33745311000001109,Saxagliptin 5mg / Dapagliflozin 10mg tablets,33745311000001109,VMP,0601023AVAAAAAA
33682311000001103,Qtern 5mg/10mg tablets,33682311000001103,AMP,0601023AVBBAAAA
36529511000001109,Ertugliflozin 5mg tablets,36529511000001109,VMP,0601023AXAAAAAA
36529411000001105,Ertugliflozin 15mg tablets,36529411000001105,VMP,0601023AXAAABAB
36514811000001101,Steglatro 5mg tablets,36514811000001101,AMP,0601023AXBBAAAA
36515111000001107,Steglatro 15mg tablets,36515111000001107,AMP,0601023AXBBABAB
37280311000001109,Empagliflozin 10mg / Linagliptin 5mg tablets,37280311000001109,VMP,0601023AYAAAAAA
37280511000001103,Empagliflozin 25mg / Linagliptin 5mg tablets,37280511000001103,VMP,0601023AYAAABAB
37225211000001100,Glyxambi 10mg/5mg tablets,37225211000001100,AMP,0601023AYBBAAAA
37225511000001102,Glyxambi 25mg/5mg tablets,37225511000001102,AMP,0601023AYBBABAB
21635011000001107,VMP previous to 39689811000001104,21635011000001107,VMP,0601023AGAAABAB
21635211000001102,VMP previous to 39689911000001109,21635211000001102,VMP,0601023AGAAAAAA
24104411000001102,VMP previous to 39734511000001100,24104411000001102,VMP,0601023AMAAAAAA
703679006,VMP previous to 39689911000001109,703679006,VMP,0601023AGAAAAAA
703680009,VMP previous to 39689811000001104,703680009,VMP,0601023AGAAABAB
703682001,VMP previous to 39734511000001100,703682001,VMP,0601023AMAAAAAA
